asr_segment_id,start,end,duration,text,speaker,language,start_hms,end_hms
1,18.183,27.33,9.146999999999998,"This is open sir, this is open 1 lakh will be there you paid 7332, 1 lakh 7332 rupees.",,en,00:18.183,00:27.330
2,28.071,32.314,4.2429999999999986,"So, after 26 you will get full benefit 1 lakh 7500 rupees.",,en,00:28.071,00:32.314
3,32.674,35.276,2.602000000000004,How much is the difference?,,en,00:32.674,00:35.276
4,35.296,38.799,3.503,"180, 190 rupees actually.",,en,00:35.296,00:38.799
5,39.48,41.261,1.781000000000006,Only 180 rupees sir.,,en,00:39.480,00:41.261
6,41.281,43.743,2.4620000000000033,"So, 7500 you will get a benefit full benefit sir, 332, 162.",,en,00:41.281,00:43.743
7,50.733,51.855,1.1219999999999999,But ma'am is not there.,,en,00:50.733,00:51.855
8,52.556,56.201,3.645000000000003,"Oh, you need a... Because ma'am's number is... Signature?",,en,00:52.556,00:56.201
9,56.742,57.183,0.4410000000000025,"Yeah, signature.",,en,00:56.742,00:57.183
10,57.203,58.364,1.1609999999999943,"For... No, because it's like a...",,en,00:57.203,00:58.364
11,67.746,88.902,21.156000000000006,I taste you both scheme open and means so you did one more scheme I said that one if you open means I will do your name billing so billing also not possible in your name right now I need a billing ma'am name only yeah but you need a number ma'am only I need now so where staying I went somewhere okay,,en,01:07.746,01:28.902
12,89.933,93.054,3.120999999999995,"Sir, at least ma'am, because I think this is your name.",,en,01:29.933,01:33.054
13,93.554,101.357,7.802999999999997,"So, if it is in case, sir, both are open means, sir, one scheme already, both are means both open scheme means, I build your name only, both scheme.",,en,01:33.554,01:41.357
14,101.377,102.738,1.3610000000000042,"Yeah, yeah, yeah.",,en,01:41.377,01:42.738
15,102.758,103.798,1.0400000000000063,"So, the system will not take.",,en,01:42.758,01:43.798
16,103.898,105.019,1.1210000000000093,This is in ma'am's name.,,en,01:43.898,01:45.019
17,105.059,105.239,0.18000000000000682,Yeah.,,en,01:45.059,01:45.239
18,105.259,105.639,0.37999999999999545,Okay.,,en,01:45.259,01:45.639
19,107.84,110.341,2.5009999999999906,"Okay, then I'll have to bring or I'll come or maybe.",,en,01:47.840,01:50.341
20,110.761,111.981,1.2199999999999989,"Still time is it, don't worry.",,en,01:50.761,01:51.981
21,112.201,112.681,0.480000000000004,Yeah.,,en,01:52.201,01:52.681
22,112.981,114.682,1.7010000000000076,Just I'll order a copy of this.,,en,01:52.981,01:54.682
23,114.762,115.222,0.45999999999999375,"No, that's okay.",,en,01:54.762,01:55.222
24,115.242,116.863,1.6209999999999951,"You know, sir, I'll, right.",,en,01:55.242,01:56.863
25,117.457,118.817,1.3599999999999994,"Sir, now I can start now.",,en,01:57.457,01:58.817
26,119.317,120.718,1.4010000000000105,Now the different scheme will be coming.,,en,01:59.317,02:00.718
27,120.778,121.338,0.5599999999999881,What is the scheme?,,en,02:00.778,02:01.338
28,121.578,123.258,1.6799999999999926,"So, gold accumulation scheme is there sir.",,en,02:01.578,02:03.258
29,124.278,131.079,6.801000000000002,"So, for example, if you pay 10,000 rupees means today gold rate is 5,842 rupees.",,en,02:04.278,02:11.079
30,131.68,134.84,3.1599999999999966,"So, nearly 1.6 gram gold is accumulated from your account.",,en,02:11.680,02:14.840
