conversation_id,source_conversation_ids,start,end,duration,num_regions,segment_count,turn_count,num_speakers,speaker_set,speaker_switches,token_count,retail_hits,customer_cue_hits,number_hits,transcript_density,interaction_like,conversation_score,bridge_reasons,transcript,start_hms,end_hms
1,1|2|3|4,17.848,413.832,395.984,20,104,0,0,,0,874,14,9,73,2.207159885247889,True,55.533,semantic_continuity_no_speaker_labels|semantic_continuity_no_speaker_labels|semantic_continuity_no_speaker_labels,"This is open sir, this is open 1 lakh will be there you paid 7332, 1 lakh 7332 rupees. So, after 26 you will get full benefit 1 lakh 7500 rupees. How much is the difference? 180, 190 rupees actually. Only 180 rupees sir. So, 7500 you will get a benefit full benefit sir, 332, 162. But ma'am is not there. Oh, you need a... Because ma'am's number is... Signature? Yeah, signature. For... No, because it's like a... I taste you both scheme open and means so you did one more scheme I said that one if you open means I will do your name billing so billing also not possible in your name right now I need a billing ma'am name only yeah but you need a number ma'am only I need now so where staying I went somewhere okay Sir, at least ma'am, because I think this is your name. So, if it is in case, sir, both are open means, sir, one scheme already, both are means both open scheme means, I build your name only, both scheme. Yeah, yeah, yeah. So, the system will not take. This is in ma'am's name. Yeah. Okay. Okay, then I'll have to bring or I'll come or maybe. Still time is it, don't worry. Yeah. Just I'll order a copy of this. No, that's okay. You know, sir, I'll, right. Sir, now I can start now. Now the different scheme will be coming. What is the scheme? So, gold accumulation scheme is there sir. So, for example, if you pay 10,000 rupees means today gold rate is 5,842 rupees. So, nearly 1.6 gram gold is accumulated from your account. Next to month 10,000 you paid. If it is gold at high means 1.5 gram. If it is low means 1.6 gram. So, that much if you pay 10 month means around 15 gram will be accumulated. Gold is your gold is 15 gram sir. So, for that 15 gram up to 12 percent making charges way off will be there. For example, UP purchase any ornaments any other than coins sir, any gold chain necklace. So, that making charges will be the 22 percent sir. So, 50 percent of the making charges will be cover up means you pay only 11 percent. So, that will be the plan. So, if it is 24 means 12 percent waived off, if it is 30 yeah up to 12 percent. So, if it is 30 percent means 12 minus remaining 18 only you pay like that will be there. Gold rate also accumulated plus whatever the offers will be there. But what about the amount extra? Amount will not get it in that plan. New plan. Yeah, new plan. So, old plan also there the golden harvest plan with that same thing same procedure I will explain now that it will be same thing. 7.5 percent rate of interest. If you go for like a pro-rata means 11.99 percent. So, two scheme you are closing or at least one you can restart now today, any amount. No, no, I will come with my wife. See the reason is My daughter is going to office right, so they prefer the Miya kind of business. You know Miya also you can purchase in Golden Harvest right, there is no restriction. But Naya scheme is only for Tanish. You are not able to purchase in Miya. But Gold scheme can continue anyway. You can purchase Coin also in that one. There is no restriction. Golden Harvest. Golden Harvest. You can redeem in Miya by Tanish culture. So, how much grams I will give for 1,00,000? 1,00,000 sir. How many coins I will give? Coins right 1,00,000 24 correct means around 100 coins I will give 100 coins. No, no, no, no, no, no, no, no, no, no. Today it actually this is yesterday price. So, approximately 1 lakh 7000 means. 1 coin is how many grams? Yeah. 1 is 24 karat coin. 1 gram 1 starting from 1 gram only. So, for example, you will get around for 1 lakh 10th 73000 7 plus 3 10. So, 15 grams are 24 karat approximately 15 gram coin you will get. No, no, no. Ten gram plus five gram, like this one. This is five grams. Ten gram, yeah, ten plus five. Eight is there, eight plus three. Sir, you are going to plan two plans, right? One plan, ma'am, ma'am, ma'am, ma'am, ma'am, ma'am, ma'am, ma'am, ma'am, ma'am. She has to sign, right? Sign and she will be there herself. She has to sign. Yeah. I will build ma'am name only. That's all right sir. If it is open sir, I will club note also. If once came already you closed in me. That's all right sir. Sorry sir. No. Yeah please come sir. Yeah sir. So please plan new one also. I will assist you. Okay. Thank you sir. Prakash sir. Prakash sir. Prakash sir. Prakash sir.",00:17.848,06:53.832
5,5,424.6,443.08,18.47999999999996,3,6,0,0,,0,45,0,0,0,2.4350649350649403,False,6.861,,"There is a burlail. I brought a popo from the corner. I don't know how to put it. If you don't have a popo, give it to your dad. That will be enough. If you have another problem, give it to your dad.",07:04.600,07:23.080
6,6,448.984,461.128,12.144000000000005,3,1,0,0,,0,2,0,0,0,0.16469038208168635,False,-2.113,,with redemption.,07:28.984,07:41.128
7,7|8|9,529.176,645.672,116.49599999999998,8,33,0,0,,0,247,9,7,12,2.120244471913199,True,47.655,semantic_continuity_no_speaker_labels|semantic_continuity_no_speaker_labels,"No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. 17, 18, 19. Ma'am, is it possible to order the size of 15? We have to order the size of 15. It is different. The size of the Tannish is different. Where is the size of the Tannish? We have to order the size of the Tannish. Look at the design, sir. Do you like the design? Do you have 14? 14 is also doubtful. Because the standard is 11, 12, 13, right? We will check with that. If it is in case, if you like the design, we will check with the like factory. I'm a bit uncomfortable. I'm a bit uncomfortable. I'm a bit uncomfortable. I'm a bit uncomfortable. I'm a bit uncomfortable. I'm a bit uncomfortable. I'm a bit uncomfortable. Have you ever purchased a tennis recently? Yes, she has purchased it before. In this showroom you came. I came in when I was at the road one. Okay. You didn't like the design so they told around 15. They told us that around 15 new stock will be coming in all the stores. Yeah, this is second floor. Please come. Sir, diamond here please come. Here only you can see, I bring the designs here, because you will",08:49.176,10:45.672
10,10,654.52,665.224,10.704000000000065,1,0,0,0,,0,0,0,0,0,0.0,False,-7.762,,,10:54.520,11:05.224
11,11,688.44,693.288,4.847999999999956,1,3,0,0,,0,13,0,1,0,2.681518151815206,False,0.341,,"Which one? Like this, no? Yeah, both band type you can use both.",11:28.440,11:33.288
12,12,739.256,740.808,1.552000000000021,1,0,0,0,,0,0,0,0,0,0.0,False,-10.966,,,12:19.256,12:20.808
13,13|14,755.576,819.144,63.567999999999984,5,13,0,0,,0,81,6,1,12,1.2742260256732951,True,25.613,semantic_continuity_no_speaker_labels,"We will check with that. 20,000, 30,000, 35,000 I said just check the size ma. Those I think. No, this is 14 actually one piece. See the designs now you can just check with the other. This is a separate room. This is 11. This is 13, 13, 13. What is the price? I don't know. ma'am this is 11 only. I said no the next case is different. So, we will get it ma'am.",12:35.576,13:39.144
15,15,826.776,828.936,2.160000000000082,1,2,0,0,,0,5,0,1,0,2.314814814814727,False,-3.835,,Coffee tea anything sir. Coffee.,13:46.776,13:48.936
16,16,846.328,849.352,3.024000000000001,1,0,0,0,,0,0,0,0,0,0.0,False,-10.933,,,14:06.328,14:09.352
17,17,856.856,868.328,11.47199999999998,1,0,0,0,,0,0,0,0,0,0.0,False,-7.745,,,14:16.856,14:28.328
18,18,881.976,903.784,21.807999999999993,3,1,0,0,,0,38,2,2,3,1.742479823917829,False,9.501,,present you will get a total value of 5% discount whatever the diamond you purchase we will get 6% minimum 6% whichever the highest one will give and we have a plan also monthly investment plan be right,14:41.976,15:03.784
19,19,919.032,921.7,2.6680000000000064,1,2,0,0,,0,7,0,0,0,2.6236881559220326,False,-1.457,,It's very good. It's good.,15:19.032,15:21.700
